report_date;_order_id;Zamówienie;Data zamówienia;Upgrade z zamówienia;Upgrade na zamówienie;_offer_id;offer_upgrade_from;offer_upgrade_from_from;Imię;Nazwisko;Email;Typ oferty;Numer rozliczeniowy;Nazwa oferty;Okres;Data aktywacji abonamentu;Data uruchomienia abonamentu;Planowana data zakończenia abonamentu;Data zakończenia abonamentu;Data wypowiedzenia abonamentu;Status zamówienia;Cena oferty;employer;deduct_pension;deduct_other;deduct_other2;zfss;personal;special_employer;special_motivizer;payu;subscription_points;deduct_b2b;Dostawca;Nazwa_firmy;Galaz_dochodowa;Upgrade_ta_sama_oferta;Po_Upgrade_ta_sama_oferta;Upgrade_ta_sama_konfigurowalna;Po_Upgrade_ta_sama_konfigurowalna;Upgrade_rozne_oferty;Po_Upgrade_rozne_oferty;Przystąpienia_uruchomione_w_tym_miesiącu;Przystąpienia_możliwe_w_tym_miesiącu;Przystąpienia_do_uruchomienia_kolejnym_miesiącu;Przystąpienia_możliwe_do_uruchomienia_w_kolejnym_miesiącu;Zakończone_w_poprzednim_miesiącu;Zakończone_na_koniec_bieżącego_miesiąca;userdataemployee_id
2022-10-06;1161066;470000298;2022-03-31;;470006105;38817;;;Łukasz;Kowalski;lukasz.Xxxxpinski@test.com;child;09409850;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-04-01;2022-03-01;2022-04-30;2022-05-01;;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;1;0;0;0;0;0;0;0;0;78308
2022-10-06;1161068;470000299;2022-03-31;;;38817;;;Alina;Kowalski;alina.Xxxxczolkowska@test.com;child;02911804;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79161
2022-10-06;1161070;470000300;2022-03-31;;;38817;;;Katarzyna;Kowalski;katarzyna.Xxxxlowska-belkadi@test.com;child;03311914;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79036
2022-10-06;1161072;470000301;2022-03-31;;;38817;;;Magdalena;Kowalski;magdalena.Xxxxrzejewska@test.com;child;0111968;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;78809
2022-10-06;1161076;470000302;2022-03-31;;;38817;;;Agnieszka;Kowalski;agnieszka.Xxxxdolinska@test.com;child;07012443;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;77793
2022-10-06;1161078;470000303;2022-03-31;;;38817;;;Beata;Kowalski;beata.Xxxxlek@test.com;child;04513955;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;78325
2022-10-06;1161080;470000304;2022-03-31;;;38817;;;Natalia;Kowalski;natalia.Xxxxierzewska@test.com;child;01214172;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79831
2022-10-06;1161082;470000305;2022-03-31;;;38817;;;Agnieszka;Kowalski;agnieszka.Xxxx@test.com;child;02314552;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;77620
2022-10-06;1161084;470000306;2022-03-31;;;38817;;;Krzysztof;Kowalski;krzysztof.Xxxxnas@test.com;child;05315100;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78423
2022-10-06;1161086;470000307;2022-03-31;;;38817;;;Agnieszka;Kowalski;agnieszka.Xxxxhalko@test.com;child;07815872;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78988
2022-10-06;1161088;470000308;2022-03-31;;;38817;;;Małgorzata;Kowalski;malgorzata.Xxxxzodrak@test.com;child;03016742;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79504
2022-10-06;1161090;470000309;2022-03-31;;;38817;;;Elżbieta;Kowalski;elzbieta.Xxxxpinska@test.com;child;07017246;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78510
2022-10-06;1161092;470000310;2022-03-31;;;38817;;;Magdalena;Kowalski;magdalena.Xxxxchcial@test.com;child;01218351;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78902
2022-10-06;1161094;470000311;2022-03-31;;;38817;;;Jolanta;Kowalski;jolanta.Xxxxgul@test.com;child;0518631;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_1;0;0;0;0;0;0;0;0;0;0;0;0;78140
2022-10-06;1161096;470000312;2022-03-31;;;38817;;;Małgorzata;Kowalski;malgorzata.Xxxxliwiec@test.com;child;04919598;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78883
2022-10-06;1161100;470000313;2022-03-31;;;38817;;;Anna;Kowalski;anna.Xxxxzak@test.com;child;02819621;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_1;0;0;0;0;0;0;0;0;0;0;0;0;78675
2022-10-06;1161102;470000314;2022-03-31;;;38817;;;Marcin;Kowalski;marcin.Xxxxok@test.com;child;01720125;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79638
2022-10-06;1161104;470000315;2022-03-31;;;38817;;;Dorota;Kowalski;dorota.Xxxxtula@test.com;child;09120194;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79583
2022-10-06;1161106;470000316;2022-03-31;;;38817;;;Dominik;Kowalski;dominik.Xxxxhalski@test.com;child;07620391;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_1;0;0;0;0;0;0;0;0;0;0;0;0;78798
2022-10-06;1161108;470000317;2022-03-31;;;38817;;;Marta;Kowalski;marta.Xxxxonek@test.com;child;05023609;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;78134
2022-10-06;1161110;470000318;2022-03-31;;;38817;;;Artur;Kowalski;artur.Xxxxanowski@test.com;child;04626519;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79813
2022-10-06;1161112;470000319;2022-03-31;;;38817;;;Hanna;Kowalski;hanna.Xxxxzepanik@test.com;child;05628398;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79492
2022-10-06;1161114;470000320;2022-03-31;;;38817;;;Beata;Kowalski;beata.Xxxxiel@test.com;child;07529039;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79255
2022-10-06;1161116;470000321;2022-03-31;;;38817;;;Emilia;Kowalski;emilia.Xxxxderko@test.com;child;02330017;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79049
2022-10-06;1161118;470000322;2022-03-31;;;38817;;;Katarzyna;Kowalski;katarzyna.Xxxxaj@test.com;child;06830708;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78670
2022-10-06;1161120;470000323;2022-03-31;;;38817;;;Joanna;Kowalski;joanna.Xxxxaga@test.com;child;09330968;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78331
2022-10-06;1161122;470000324;2022-03-31;;;38817;;;Ewa;Kowalski;ewa.Xxxxhaczyk@test.com;child;07431038;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-07-01;2022-03-01;2022-07-31;2022-08-01;2022-07-19;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79665
2022-10-06;1161124;470000325;2022-03-31;;;38817;;;Lidia;Kowalski;lidia.Xxxxatynowicz@test.com;child;02431166;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;78148
2022-10-06;1161126;470000326;2022-03-31;;;38817;;;Andrzej;Kowalski;andrzej.Xxxxczarski@test.com;child;08231680;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79042
2022-10-06;1161128;470000327;2022-03-31;;;38817;;;Ewa;Kowalski;ewa.Xxxxciak@test.com;child;06032405;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_1;0;0;0;0;0;0;0;0;0;0;0;0;79791
2022-10-06;1161130;470000328;2022-03-31;;;38817;;;Agata;Kowalski;agata.Xxxxsiolek@test.com;child;08033343;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79726
2022-10-06;1161132;470000329;2022-03-31;;;38817;;;Urszula;Kowalski;urszula.Xxxxek@test.com;child;07134221;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79902
2022-10-06;1161134;470000330;2022-03-31;;;38817;;;Magdalena;Kowalski;magdalena.Xxxxel@test.com;child;03734276;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79267
2022-10-06;1161136;470000331;2022-03-31;;;38817;;;Anna;Kowalski;anna.Xxxxczka@test.com;child;08634978;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79566
2022-10-06;1161138;470000332;2022-03-31;;;38817;;;Katarzyna;Kowalski;katarzyna.Xxxxalczyk@test.com;child;06835672;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;78451
2022-10-06;1161140;470000333;2022-03-31;;470007971;38817;;;Beata;Kowalski;beata.Xxxxzycka@test.com;child;04736073;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-05-01;2022-03-01;2022-05-31;2022-06-01;;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;1;0;0;0;0;0;0;0;0;79168
2022-10-06;1161142;470000334;2022-03-31;;;38817;;;Dorota;Kowalski;dorota.Xxxxtalska@test.com;child;04636383;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;78893
2022-10-06;1161144;470000335;2022-03-31;;;38817;;;Albina;Kowalski;albina.Xxxxuda1@test.com;child;04336525;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;78289
2022-10-06;1161146;470000336;2022-03-31;;;38817;;;Monika;Kowalski;monika.Xxxxsecka@test.com;child;07536538;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;77951
2022-10-06;1161148;470000337;2022-03-31;;;38817;;;Agnieszka;Kowalski;agnieszka.Xxxxrowska@test.com;child;05037555;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;77865
2022-10-06;1161150;470000338;2022-03-31;;;38817;;;Elżbieta;Kowalski;elzbieta.Xxxxfanska@test.com;child;06740635;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79430
2022-10-06;1161152;470000339;2022-03-31;;;38817;;;Mariola;Kowalski;mariola.Xxxxpiewska@test.com;child;04342004;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78582
2022-10-06;1161154;470000340;2022-03-31;;470007263;38817;;;Marta;Kowalski;marta.Xxxxucka@test.com;child;0342083;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-04-01;2022-03-01;2022-04-30;2022-05-01;;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;1;0;0;0;0;0;0;0;0;78819
2022-10-06;1161156;470000341;2022-03-31;;;38817;;;Katarzyna;Kowalski;katarzyna.Xxxxwczyk@test.com;child;04143146;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79510
2022-10-06;1161158;470000342;2022-03-31;;470006086;38817;;;Beata;Kowalski;beata.Xxxxastowska@test.com;child;03944496;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-04-01;2022-03-01;2022-04-30;2022-05-01;;subscriptionEnded;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;1;0;0;0;0;0;0;0;0;79652
2022-10-06;1161160;470000343;2022-03-31;;;38817;;;Piotr;Kowalski;piotr.Xxxxkowski@test.com;child;01244946;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;79045
2022-10-06;1161162;470000344;2022-03-31;;;38817;;;Anna;Kowalski;anna.Xxxxzewska@test.com;child;04846865;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;78991
2022-10-06;1161164;470000345;2022-03-31;;;38817;;;Anna;Kowalski;anna.Xxxxch@test.com;child;02146930;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_2;0;0;0;0;0;0;0;0;0;0;0;0;79751
2022-10-06;1161166;470000346;2022-03-31;;;38817;;;Magdalena;Kowalski;magdalena.Xxxxolak@test.com;child;05948457;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_3;0;0;0;0;0;0;0;0;0;0;0;0;77974
2022-10-06;1161168;470000347;2022-03-31;;;38817;;;Bogumiła;Kowalski;bogumila.Xxxxajczak@test.com;child;09448988;Karta lunchowa Edenred Chcę zamówić nową kartę;indefinite;2022-10-01;2022-03-01;;;;subscriptionStarted;190,00;190,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Edenred;SD;GRUPA_4;0;0;0;0;0;0;0;0;0;0;0;0;79191
